tempo_s,posicao_x_px,posicao_y_px
22.79428555917481,1159,914
22.827610538062494,1119,911
22.860935516950175,1082,906
22.89426049583786,1050,901
22.92758547472554,1020,897
22.960910453613224,995,892
22.994235432500904,975,889
23.02756041138859,960,888
23.06088539027627,950,886
23.094210369163953,944,885
23.127535348051634,945,885
23.160860326939318,951,886
23.194185305827002,962,888
23.227510284714683,978,889
23.260835263602367,1000,893
23.294160242490047,1026,900
23.32748522137773,1057,902
23.360810200265412,1090,908
23.394135179153096,1128,912
23.427460158040777,1169,915
23.46078513692846,1211,918
23.49411011581614,1255,919
23.527435094703826,1299,919
23.560760073591506,1342,918
23.59408505247919,1385,916
23.62741003136687,1426,913
23.660735010254555,1464,910
23.694059989142236,1498,906
23.72738496802992,1529,902
23.7607099469176,1555,898
23.794034925805285,1577,894
23.82735990469297,1593,891
23.86068488358065,1604,889
23.894009862468334,1609,888
23.927334841356014,1608,888
23.9606598202437,1601,889
23.99398479913138,1588,892
24.027309778019063,1570,895
24.060634756906744,1546,899
24.093959735794428,1518,903
24.12728471468211,1486,907
24.160609693569793,1450,911
24.193934672457473,1411,914
24.227259651345157,1369,917
24.260584630232838,1326,918
24.293909609120522,1282,919
24.327234588008203,1239,918
24.360559566895887,1195,917
24.393884545783568,1154,914
24.42720952467125,1115,910
24.460534503558936,1080,905
24.493859482446616,1047,901
24.5271844613343,1018,896
24.56050944022198,994,892
24.593834419109665,974,888
24.627159397997346,960,885
24.66048437688503,951,884
24.69380935577271,947,884
24.727134334660395,948,884
24.760459313548075,954,885
24.79378429243576,966,887
24.82710927132344,983,890
24.860434250211124,1005,894
24.893759229098805,1032,899
24.92708420798649,1063,903
24.96040918687417,1097,908
24.993734165761854,1135,912
25.027059144649538,1175,915
25.06038412353722,1218,918
25.093709102424903,1261,919
25.127034081312583,1305,919
25.160359060200268,1348,918
25.193684039087948,1390,916
25.227009017975632,1430,913
25.260333996863313,1467,909
25.293658975750997,1501,905
25.326983954638678,1531,901
25.360308933526362,1557,897
25.393633912414042,1577,894
25.426958891301727,1593,892
25.460283870189407,1603,890
25.49360884907709,1607,889
25.526933827964772,1605,889
25.560258806852456,1597,890
25.593583785740137,1583,893
25.62690876462782,1565,896
25.660233743515505,1541,900
25.693558722403186,1512,904
25.72688370129087,1479,908
25.76020868017855,1443,912
25.793533659066235,1404,915
25.826858637953915,1362,917
25.8601836168416,1320,918
25.89350859572928,1276,919
25.926833574616964,1233,918
25.960158553504645,1190,916
25.99348353239233,1149,913
26.02680851128001,1111,910
26.060133490167694,1076,905
26.093458469055374,1044,901
26.12678344794306,1016,896
26.16010842683074,993,892
26.193433405718423,974,890
26.226758384606104,960,887
26.260083363493788,952,887
26.293408342381472,949,886
